stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
98.792309, 3.859474, 0.396412, 0.009854, 0.009854, 0.531316
99.176844, 3.980787, 0.405334, 0.037474, 0.027620, 0.410003
100.733934, 4.608898, 0.445102, 0.036915, -0.000559, -0.218108
102.081614, 5.196758, 0.479717, 0.044923, 0.008008, -0.805968
103.389278, 5.830510, 0.513537, 0.034141, -0.010782, -1.439720
104.977743, 6.641346, 0.554185, 0.034356, 0.000215, -2.250556
102.902156, 5.489297, 0.499441, 0.031035, -0.003320, -1.098506
100.445385, 4.307548, 0.432965, -0.018780, -0.049815, 0.083242
101.229427, 4.619326, 0.453212, 0.005017, 0.023796, -0.228535
102.454287, 5.157654, 0.485567, 0.017717, 0.012700, -0.766863
102.182888, 4.989836, 0.477507, 0.049330, 0.031614, -0.599045
102.657877, 5.182184, 0.489758, 0.079452, 0.030122, -0.791393
101.684193, 4.681269, 0.462300, 0.099032, 0.019580, -0.290478
103.660019, 5.630713, 0.516144, 0.058822, -0.040210, -1.239923
106.474073, 7.129261, 0.591165, 0.007987, -0.050835, -2.738471
101.965183, 4.699499, 0.467674, -0.233285, -0.241272, -0.308709
102.460511, 4.896245, 0.480809, -0.202667, 0.030618, -0.505455
101.411630, 4.369752, 0.450330, -0.184907, 0.017760, 0.021038
102.107921, 4.651724, 0.469276, -0.157434, 0.027474, -0.260933
101.789126, 4.465170, 0.459306, -0.124790, 0.032643, -0.074379
101.467883, 4.280796, 0.449136, -0.092174, 0.032617, 0.109994
102.743838, 4.837795, 0.485217, -0.080202, 0.011972, -0.447005
101.874205, 4.387700, 0.459091, -0.056541, 0.023661, 0.003090
102.006610, 4.409318, 0.462075, -0.021583, 0.034958, -0.018527
101.340713, 4.069147, 0.441452, 0.006653, 0.028235, 0.321643
102.990274, 4.796953, 0.489512, 0.003014, -0.003639, -0.406163
102.333534, 4.441481, 0.469134, 0.032479, 0.029465, -0.050690
101.540848, 4.039160, 0.444323, 0.058604, 0.026126, 0.351630
99.800317, 3.273499, 0.390567, 0.046838, -0.011766, 1.117291
98.689035, 2.821452, 0.355813, 0.061318, 0.014480, 1.569338
97.176375, 2.282837, 0.309758, 0.058510, -0.002807, 2.107953
97.338704, 2.299039, 0.312577, 0.089837, 0.031326, 2.091751
99.372406, 2.957767, 0.371639, 0.064015, -0.025821, 1.433023
96.760468, 2.056050, 0.291947, -0.008330, -0.072346, 2.334740
94.817907, 1.512309, 0.235959, -0.034315, -0.025985, 2.878481
95.679209, 1.694009, 0.257114, -0.014856, 0.019459, 2.696781
96.297315, 1.825324, 0.272335, 0.010479, 0.025335, 2.565466
98.463825, 2.446841, 0.334945, -0.023442, -0.033921, 1.943949
101.059742, 3.380523, 0.416008, -0.090666, -0.067224, 1.010268
99.298318, 2.658465, 0.357469, -0.105219, -0.014553, 1.732325
97.601763, 2.061064, 0.302247, -0.117552, -0.012333, 2.329727
99.195155, 2.542513, 0.350421, -0.120136, -0.002584, 1.848278
97.871368, 2.069398, 0.306204, -0.114112, 0.006024, 2.321392
96.216620, 1.571160, 0.253621, -0.125344, -0.011232, 2.819630
95.802258, 1.436048, 0.239042, -0.097599, 0.027745, 2.954743
96.884877, 1.676659, 0.268579, -0.081558, 0.016041, 2.714132
97.078394, 1.693223, 0.271991, -0.048571, 0.032987, 2.697567
100.017799, 2.588820, 0.366145, -0.147132, -0.098560, 1.801970
100.754290, 2.823293, 0.389842, -0.115333, 0.031798, 1.567498
101.163706, 2.940236, 0.402555, -0.076297, 0.039036, 1.450554
103.609824, 3.982968, 0.489452, -0.138088, -0.061791, 0.407822
103.982201, 4.138658, 0.502335, -0.116166, 0.021921, 0.252132
102.413177, 3.326171, 0.443246, -0.096637, 0.019529, 1.064619
101.575515, 2.920000, 0.410547, -0.065941, 0.030696, 1.470790
98.795017, 1.877808, 0.307379, -0.169128, -0.103187, 2.512983
100.445488, 2.387255, 0.364452, -0.174099, -0.004971, 2.003535
100.841016, 2.486647, 0.377037, -0.132752, 0.041347, 1.904143
100.082348, 2.165140, 0.346081, -0.100831, 0.031921, 2.225650
102.993770, 3.282512, 0.457021, -0.213845, -0.113014, 1.108279
105.072865, 4.263218, 0.538687, -0.248728, -0.034883, 0.127572
107.609841, 5.698777, 0.635982, -0.322867, -0.074139, -1.307986
109.369088, 6.819497, 0.699606, -0.330995, -0.008128, -2.428707
111.915553, 8.656420, 0.781485, -0.393342, -0.062347, -4.265629
109.681849, 6.932342, 0.713700, -0.422728, -0.029386, -2.541552
111.466853, 8.207691, 0.773248, -0.431239, -0.008511, -3.816900
110.410996, 7.354912, 0.742338, -0.402679, 0.028560, -2.964122
109.551773, 6.673540, 0.715083, -0.366583, 0.036097, -2.282750
106.150478, 4.400531, 0.582123, -0.532927, -0.166344, -0.009741
107.510114, 5.170199, 0.640079, -0.516866, 0.016061, -0.779408
106.267834, 4.344754, 0.587933, -0.492944, 0.023922, 0.046036
107.138018, 4.809936, 0.626709, -0.452332, 0.040612, -0.419146
110.086912, 6.778463, 0.746719, -0.578990, -0.126658, -2.387672
107.649364, 5.008657, 0.651658, -0.636889, -0.057899, -0.617867
110.952275, 7.326113, 0.783733, -0.808504, -0.171615, -2.935323
110.689630, 7.063864, 0.778263, -0.760079, 0.048425, -2.673074
110.396781, 6.778220, 0.771448, -0.710270, 0.049809, -2.387429
109.233969, 5.842904, 0.729469, -0.679850, 0.030419, -1.452114
109.393350, 5.895204, 0.739692, -0.623279, 0.056571, -1.504414
108.384113, 5.101571, 0.698879, -0.583675, 0.039605, -0.710780
108.294643, 4.968730, 0.698018, -0.520430, 0.063245, -0.577940
108.016067, 4.703364, 0.687934, -0.456573, 0.063857, -0.312573
106.453708, 3.612933, 0.607907, -0.447893, 0.008680, 0.777857
105.453237, 2.951995, 0.550731, -0.401254, 0.046639, 1.438796
104.738884, 2.511961, 0.506363, -0.360145, 0.041109, 1.878829
101.546509, 1.120147, 0.303574, -0.589879, -0.229734, 3.270643
102.977586, 1.533949, 0.386061, -0.572249, 0.017630, 2.856842
104.203253, 1.966657, 0.464821, -0.535624, 0.036625, 2.424134
108.163682, 4.253374, 0.730338, -0.986116, -0.450491, 0.137416
108.237204, 4.220827, 0.742265, -0.907385, 0.078730, 0.169963
109.615100, 5.220890, 0.826676, -0.892327, 0.015059, -0.830100
107.059828, 3.190761, 0.680588, -0.983141, -0.090814, 1.200029
108.310018, 4.002874, 0.777323, -0.951398, 0.031743, 0.387917
110.460438, 5.739281, 0.903201, -1.024285, -0.072887, -1.348491
110.745342, 5.940110, 0.928900, -0.977219, 0.047067, -1.549319
110.212387, 5.386732, 0.927752, -0.928616, 0.048603, -0.995942
108.830345, 4.056780, 0.886615, -0.890558, 0.038058, 0.334010
106.206488, 1.834621, 0.676989, -1.004010, -0.113452, 2.556169
106.307773, 1.720000, 0.724695, -0.827870, 0.176139, 2.670790
104.545639, 0.436949, 0.392915, -0.829383, -0.001513, 3.953842
