stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
100.269114, 4.473133, 0.434702, 0.029190, 0.029190, -0.082342
101.109004, 4.812614, 0.455737, 0.050933, 0.021743, -0.421824
100.354427, 4.441870, 0.435145, 0.073699, 0.022767, -0.051079
101.317270, 4.837763, 0.459621, 0.092899, 0.019199, -0.446972
100.863917, 4.597080, 0.446827, 0.121080, 0.028182, -0.206289
99.028845, 3.788328, 0.397202, 0.105869, -0.015211, 0.602462
98.901256, 3.704499, 0.392707, 0.135504, 0.029634, 0.686291
97.710292, 3.223496, 0.360013, 0.145333, 0.009830, 1.167294
96.992182, 2.940504, 0.339873, 0.166641, 0.021308, 1.450287
96.842804, 2.858912, 0.334584, 0.194501, 0.027859, 1.531878
95.125255, 2.293622, 0.289059, 0.182215, -0.012285, 2.097169
92.747810, 1.650691, 0.230095, 0.135442, -0.046774, 2.740099
92.401532, 1.548224, 0.220442, 0.156292, 0.020851, 2.842567
92.897373, 1.635287, 0.230051, 0.176682, 0.020389, 2.755503
93.265582, 1.695855, 0.236908, 0.198880, 0.022198, 2.694935
91.427571, 1.276810, 0.193480, 0.180482, -0.018398, 3.113981
89.073904, 0.860314, 0.144464, 0.139979, -0.040503, 3.530476
89.675051, 0.931402, 0.153969, 0.154557, 0.014579, 3.459388
90.243237, 1.001881, 0.163253, 0.170299, 0.015741, 3.388909
90.567474, 1.035146, 0.167910, 0.188621, 0.018322, 3.355644
91.954147, 1.264850, 0.195583, 0.190367, 0.001745, 3.125940
92.300111, 1.309829, 0.201415, 0.211412, 0.021046, 3.080961
94.188118, 1.704300, 0.244596, 0.195521, -0.015891, 2.686491
96.185316, 2.212683, 0.294873, 0.173547, -0.021975, 2.178107
97.443017, 2.571534, 0.327941, 0.182981, 0.009434, 1.819256
96.943369, 2.378190, 0.312201, 0.209573, 0.026592, 2.012600
98.379016, 2.820058, 0.351497, 0.213170, 0.003597, 1.570732
97.938554, 2.633097, 0.337088, 0.242180, 0.029010, 1.757693
98.277233, 2.713263, 0.345290, 0.273188, 0.031009, 1.677527
98.287594, 2.681003, 0.343929, 0.305955, 0.032767, 1.709787
100.100046, 3.314541, 0.396865, 0.292714, -0.013241, 1.076249
100.711478, 3.523093, 0.414315, 0.323236, 0.030522, 0.867698
98.125174, 2.517883, 0.333903, 0.253142, -0.070094, 1.872907
96.786733, 2.063728, 0.292704, 0.257411, 0.004269, 2.327063
95.783293, 1.752671, 0.262195, 0.272177, 0.014766, 2.638120
96.272907, 1.851594, 0.273809, 0.299338, 0.027160, 2.539196
97.495013, 2.172356, 0.307419, 0.310798, 0.011460, 2.218434
97.599981, 2.168957, 0.308531, 0.343739, 0.032941, 2.221834
96.417458, 1.791485, 0.271353, 0.353628, 0.009889, 2.599306
96.961000, 1.908531, 0.285085, 0.381691, 0.028063, 2.482260
96.380711, 1.714506, 0.265685, 0.407769, 0.026078, 2.676285
95.490098, 1.457771, 0.237784, 0.425550, 0.017782, 2.933019
97.381260, 1.923059, 0.291008, 0.407885, -0.017665, 2.467731
97.187193, 1.831336, 0.282718, 0.440553, 0.032667, 2.559454
97.472337, 1.876556, 0.289148, 0.473447, 0.032894, 2.514234
97.691800, 1.903438, 0.293646, 0.507459, 0.034012, 2.487352
98.683416, 2.170545, 0.323324, 0.528930, 0.021471, 2.220246
