stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
100.082551, 4.392487, 0.429855, 0.029870, 0.029870, -0.001696
98.699784, 3.790377, 0.392946, 0.033761, 0.003891, 0.600413
96.887275, 3.089982, 0.345150, 0.018470, -0.015291, 1.300809
95.552753, 2.623051, 0.310226, 0.021781, 0.003311, 1.767740
94.328328, 2.234566, 0.278794, 0.027739, 0.005958, 2.156224
94.536382, 2.265672, 0.282298, 0.052253, 0.024514, 2.125119
93.107452, 1.861479, 0.246790, 0.050645, -0.001608, 2.529312
92.816941, 1.765983, 0.238457, 0.072356, 0.021711, 2.624808
92.421373, 1.649302, 0.227788, 0.092696, 0.020341, 2.741488
92.786262, 1.709162, 0.234405, 0.114039, 0.021343, 2.681629
95.344422, 2.357578, 0.294576, 0.063291, -0.050748, 2.033212
93.931460, 1.939435, 0.258014, 0.062664, -0.000627, 2.451356
94.194247, 1.980831, 0.262717, 0.086865, 0.024200, 2.409959
94.215637, 1.959128, 0.261546, 0.111937, 0.025073, 2.431662
95.531109, 2.295173, 0.292947, 0.117709, 0.005772, 2.095617
95.452062, 2.242576, 0.289268, 0.144613, 0.026904, 2.148215
92.333205, 1.436952, 0.211675, 0.045549, -0.099064, 2.953838
89.683010, 0.932628, 0.154122, -0.012899, -0.058448, 3.458163
89.384260, 0.868882, 0.146588, 0.003522, 0.016421, 3.521908
89.562428, 0.876467, 0.148093, 0.020842, 0.017320, 3.514324
90.977578, 1.084261, 0.174472, 0.021395, 0.000553, 3.306529
91.628852, 1.179680, 0.186459, 0.038140, 0.016745, 3.211111
89.814960, 0.856867, 0.147202, 0.021162, -0.016978, 3.533923
91.384946, 1.090435, 0.177208, 0.017476, -0.003686, 3.300356
91.054994, 1.011625, 0.168185, 0.036319, 0.018843, 3.379166
90.901654, 0.964929, 0.162954, 0.055810, 0.019491, 3.425861
89.915272, 0.794943, 0.141215, 0.063693, 0.007883, 3.595848
87.858656, 0.527836, 0.103183, 0.039200, -0.024493, 3.862954
88.723661, 0.606622, 0.115541, 0.048824, 0.009624, 3.784168
87.633657, 0.476149, 0.095925, 0.052404, 0.003580, 3.914641
85.398034, 0.286576, 0.064105, 0.026743, -0.025662, 4.104214
86.490134, 0.351796, 0.075994, 0.031021, 0.004278, 4.038995
87.816367, 0.450442, 0.093009, 0.032546, 0.001526, 3.940348
86.640457, 0.339096, 0.074441, 0.033759, 0.001213, 4.051694
87.553549, 0.399142, 0.085242, 0.041082, 0.007322, 3.991648
85.680706, 0.253054, 0.059245, 0.026827, -0.014254, 4.137736
84.605368, 0.187264, 0.046469, 0.028434, 0.001607, 4.203526
85.396096, 0.217732, 0.052879, 0.034341, 0.005908, 4.173058
85.137179, 0.195572, 0.048639, 0.042388, 0.008046, 4.195219
84.554334, 0.161084, 0.041618, 0.048139, 0.005752, 4.229707
84.433192, 0.148652, 0.039122, 0.055201, 0.007062, 4.242138
86.626169, 0.246927, 0.059838, 0.042412, -0.012789, 4.143863
87.636058, 0.301112, 0.070717, 0.048171, 0.005760, 4.089679
87.997291, 0.314391, 0.073638, 0.059857, 0.011686, 4.076399
86.413841, 0.204154, 0.052023, 0.052887, -0.006971, 4.186637
87.151214, 0.234492, 0.058641, 0.060489, 0.007602, 4.156298
86.130804, 0.171540, 0.045561, 0.063125, 0.002636, 4.219251
88.114234, 0.271274, 0.066852, 0.053391, -0.009734, 4.119516
86.603870, 0.175034, 0.046893, 0.048107, -0.005284, 4.215756
87.206514, 0.194825, 0.051569, 0.056196, 0.008088, 4.195965
86.951145, 0.172289, 0.046869, 0.065142, 0.008946, 4.218502
85.302564, 0.101383, 0.030230, 0.058399, -0.006743, 4.289407
84.530758, 0.074736, 0.023478, 0.061475, 0.003076, 4.316055
85.477975, 0.093406, 0.028583, 0.064860, 0.003384, 4.297384
85.566393, 0.089452, 0.027746, 0.071114, 0.006255, 4.301338
86.084259, 0.097747, 0.030132, 0.076969, 0.005854, 4.293044
83.892175, 0.044025, 0.015314, 0.064399, -0.012570, 4.346766
85.757381, 0.075838, 0.024643, 0.061032, -0.003366, 4.314953
85.517222, 0.064573, 0.021639, 0.066183, 0.005151, 4.326218
84.374409, 0.039665, 0.014317, 0.066191, 0.000008, 4.351126
