stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
101.963663, 5.247044, 0.478678, -0.018397, -0.018397, -0.856254
100.533899, 4.554836, 0.440724, -0.014910, 0.003487, -0.164046
102.333607, 5.354442, 0.486967, -0.025287, -0.010377, -0.963652
103.687800, 6.021855, 0.521769, -0.037667, -0.012380, -1.631065
103.798369, 6.042774, 0.524172, -0.005669, 0.031999, -1.651984
103.725029, 5.967333, 0.521805, 0.026530, 0.032199, -1.576543
103.392576, 5.758222, 0.512596, 0.057391, 0.030861, -1.367431
103.440899, 5.745747, 0.513354, 0.089954, 0.032563, -1.354957
103.044765, 5.507229, 0.502267, 0.120427, 0.030473, -1.116438
101.448125, 4.682795, 0.458303, 0.138345, 0.017918, -0.292005
101.450439, 4.647394, 0.457538, 0.170672, 0.032327, -0.256603
100.523985, 4.199440, 0.431259, 0.190611, 0.019939, 0.191350
98.980113, 3.532027, 0.387829, 0.188350, -0.002261, 0.858763
100.452849, 4.096903, 0.427299, 0.191204, 0.002854, 0.293887
100.195935, 3.952098, 0.419114, 0.222397, 0.031193, 0.438693
100.313131, 3.965174, 0.421320, 0.254687, 0.032290, 0.425617
100.358007, 3.947659, 0.421511, 0.287335, 0.032647, 0.443132
97.908629, 2.965726, 0.351773, 0.233051, -0.054284, 1.425064
97.115537, 2.662897, 0.328527, 0.253793, 0.020742, 1.727893
97.886505, 2.890566, 0.348232, 0.276532, 0.022739, 1.500225
97.185660, 2.620499, 0.327291, 0.299474, 0.022942, 1.770292
96.571355, 2.392692, 0.308832, 0.323359, 0.023885, 1.998099
97.843860, 2.773860, 0.342468, 0.332492, 0.009133, 1.616930
99.251283, 3.247717, 0.381285, 0.337615, 0.005123, 1.143073
100.772447, 3.823069, 0.424631, 0.338863, 0.001247, 0.567722
101.160456, 3.951029, 0.435039, 0.371831, 0.032968, 0.439762
98.599597, 2.898299, 0.357924, 0.306549, -0.065281, 1.492491
98.210727, 2.725918, 0.344991, 0.336562, 0.030013, 1.664873
98.334770, 2.733179, 0.346978, 0.369037, 0.032475, 1.657612
