stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
100.259487, 4.468949, 0.434452, 0.029247, 0.029247, -0.078159
99.996157, 4.321619, 0.426685, 0.058298, 0.029051, 0.069172
99.963600, 4.273809, 0.424895, 0.088417, 0.030120, 0.116981
100.639808, 4.532436, 0.441766, 0.113327, 0.024909, -0.141645
98.218880, 3.507726, 0.377037, 0.064602, -0.048725, 0.883064
97.938788, 3.371027, 0.368512, 0.092377, 0.027775, 1.019764
99.578202, 3.976431, 0.410727, 0.087879, -0.004498, 0.414359
98.362786, 3.464016, 0.377249, 0.097436, 0.009557, 0.926775
99.974669, 4.071939, 0.419304, 0.094266, -0.003170, 0.318852
99.509641, 3.845426, 0.405682, 0.122044, 0.027779, 0.545364
97.777942, 3.150787, 0.357897, 0.110554, -0.011490, 1.240004
96.600040, 2.716629, 0.325359, 0.119995, 0.009441, 1.674161
97.924566, 3.137824, 0.359162, 0.126911, 0.006916, 1.252967
96.756649, 2.705228, 0.326519, 0.136871, 0.009960, 1.685563
97.443561, 2.903297, 0.343410, 0.160239, 0.023368, 1.487494
94.197048, 1.899532, 0.257635, 0.046101, -0.114137, 2.491258
95.220089, 2.146957, 0.281629, 0.060033, 0.013932, 2.243833
94.066714, 1.811698, 0.250874, 0.068028, 0.007995, 2.579093
95.301709, 2.111126, 0.280291, 0.076273, 0.008246, 2.279664
95.355517, 2.096591, 0.279936, 0.103457, 0.027183, 2.294199
92.630222, 1.402234, 0.210926, 0.032475, -0.070981, 2.988557
91.630394, 1.179967, 0.186493, 0.042056, 0.009580, 3.210823
91.461776, 1.126460, 0.180857, 0.062543, 0.020487, 3.264331
91.427915, 1.098069, 0.178132, 0.083287, 0.020744, 3.292721
91.589239, 1.104509, 0.179607, 0.104085, 0.020798, 3.286281
90.792508, 0.947267, 0.160699, 0.116717, 0.012632, 3.443524
88.607025, 0.626046, 0.117440, 0.085391, -0.031325, 3.764745
89.669497, 0.742272, 0.134529, 0.092980, 0.007588, 3.648518
90.004682, 0.769278, 0.138850, 0.109952, 0.016973, 3.621513
91.081766, 0.908970, 0.158352, 0.118660, 0.008708, 3.481820
90.453889, 0.793649, 0.143427, 0.133227, 0.014567, 3.597142
89.125204, 0.602857, 0.116476, 0.132255, -0.000973, 3.787933
86.673950, 0.353727, 0.076669, 0.094914, -0.037340, 4.037063
84.870820, 0.226518, 0.053608, 0.083264, -0.011650, 4.164273
82.990440, 0.136115, 0.035302, 0.072444, -0.010820, 4.254676
82.914588, 0.127260, 0.033522, 0.078351, 0.005907, 4.263531
81.248447, 0.076467, 0.021893, 0.073037, -0.005314, 4.314324
81.052812, 0.068291, 0.019974, 0.076768, 0.003731, 4.322499
81.345372, 0.070215, 0.020552, 0.080542, 0.003774, 4.320576
78.962652, 0.031453, 0.010331, 0.070184, -0.010358, 4.359337
81.267115, 0.060857, 0.018365, 0.064516, -0.005668, 4.329933
81.892226, 0.069034, 0.020563, 0.067683, 0.003167, 4.321756
81.863336, 0.064329, 0.019459, 0.071640, 0.003957, 4.326461
81.967745, 0.062311, 0.019036, 0.075545, 0.003905, 4.328479
81.984467, 0.058674, 0.018177, 0.079360, 0.003815, 4.332117
81.056676, 0.040726, 0.013339, 0.080310, 0.000949, 4.350064
81.095908, 0.038314, 0.012722, 0.083150, 0.002840, 4.352476
84.222633, 0.095068, 0.027918, 0.066085, -0.017065, 4.295722
84.105829, 0.086186, 0.025842, 0.071489, 0.005404, 4.304604
83.804577, 0.073573, 0.022720, 0.076117, 0.004628, 4.317217
85.930659, 0.129667, 0.036960, 0.068154, -0.007963, 4.261124
85.786089, 0.116921, 0.034100, 0.075261, 0.007106, 4.273869
84.280085, 0.069045, 0.021940, 0.071512, -0.003749, 4.321746
83.161035, 0.044202, 0.015043, 0.071633, 0.000121, 4.346588
83.136052, 0.040281, 0.013975, 0.075066, 0.003433, 4.350509
83.209899, 0.037874, 0.013341, 0.078401, 0.003335, 4.352916
80.751195, 0.013586, 0.005460, 0.069789, -0.008612, 4.377204
81.401531, 0.015780, 0.006280, 0.071111, 0.001322, 4.375011
79.810785, 0.007213, 0.003152, 0.069645, -0.001465, 4.383577
80.501315, 0.008564, 0.003704, 0.070453, 0.000808, 4.382226
79.423745, 0.004611, 0.002142, 0.070394, -0.000059, 4.386180
78.509318, 0.002551, 0.001264, 0.070486, 0.000092, 4.388239
78.142834, 0.001792, 0.000925, 0.070779, 0.000293, 4.388998
80.067870, 0.003966, 0.001917, 0.070385, -0.000394, 4.386824
81.278290, 0.006030, 0.002821, 0.070633, 0.000248, 4.384760
81.222296, 0.005016, 0.002412, 0.071475, 0.000842, 4.385775
79.983928, 0.002262, 0.001185, 0.071229, -0.000246, 4.388528
80.301612, 0.002210, 0.001171, 0.071655, 0.000427, 4.388580
80.298776, 0.001808, 0.000985, 0.072052, 0.000397, 4.388983
80.134627, 0.001334, 0.000754, 0.072364, 0.000311, 4.389456
79.353183, 0.000668, 0.000404, 0.072441, 0.000078, 4.390122
77.271051, 0.000132, 0.000091, 0.072140, -0.000302, 4.390658
78.440034, 0.000215, 0.000145, 0.072169, 0.000030, 4.390575
78.910945, 0.000217, 0.000148, 0.072242, 0.000072, 4.390573
77.498658, 0.000056, 0.000042, 0.072200, -0.000042, 4.390734
77.107120, 0.000028, 0.000022, 0.072218, 0.000018, 4.390763
78.113734, 0.000041, 0.000032, 0.072234, 0.000016, 4.390750
77.167413, 0.000012, 0.000010, 0.072240, 0.000005, 4.390778
77.427092, 0.000009, 0.000008, 0.072252, 0.000013, 4.390781
76.098692, 0.000001, 0.000001, 0.072256, 0.000004, 4.390789
77.320780, 0.000003, 0.000003, 0.072264, 0.000008, 4.390788
77.741870, 0.000002, 0.000002, 0.072273, 0.000009, 4.390788
76.591280, 0.000000, 0.000000, 0.072279, 0.000007, 4.390790
75.511598, 0.000000, 0.000000, 0.072287, 0.000007, 4.390790
73.830405, 0.000000, 0.000000, 0.072294, 0.000007, 4.390790
73.528056, 0.000000, 0.000000, 0.072301, 0.000007, 4.390790
71.719385, 0.000000, 0.000000, 0.072308, 0.000007, 4.390790
71.263952, 0.000000, 0.000000, 0.072315, 0.000007, 4.390790
70.397944, -0.000000, 0.000000, 0.072322, 0.000007, 4.390790
69.655310, 0.000000, 0.000000, 0.072330, 0.000007, 4.390790
69.002240, 0.000000, 0.000000, 0.072337, 0.000007, 4.390790
68.983884, 0.000000, 0.000000, 0.072344, 0.000007, 4.390790
67.336347, 0.000000, 0.000000, 0.072351, 0.000007, 4.390790
67.677659, 0.000000, 0.000000, 0.072358, 0.000007, 4.390790
67.908465, 0.000000, 0.000000, 0.072365, 0.000007, 4.390790
67.515580, 0.000000, 0.000000, 0.072373, 0.000007, 4.390790
67.958147, 0.000000, 0.000000, 0.072380, 0.000007, 4.390790
68.161364, 0.000000, 0.000000, 0.072387, 0.000007, 4.390790
66.486217, 0.000000, 0.000000, 0.072394, 0.000007, 4.390790
