stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
100.392138, 4.526808, 0.437899, 0.028246, 0.028246, -0.136017
103.321152, 5.905190, 0.513294, -0.071434, -0.099679, -1.514400
102.190683, 5.285107, 0.483241, -0.036297, 0.035136, -0.894317
102.184836, 5.246416, 0.482425, -0.004809, 0.031488, -0.855626
103.584791, 5.931413, 0.518627, -0.018805, -0.013995, -1.540623
103.665297, 5.936211, 0.520246, 0.013407, 0.032211, -1.545421
104.284281, 6.225742, 0.535949, 0.041138, 0.027732, -1.834952
101.987838, 5.007358, 0.474415, 0.023824, -0.017314, -0.616567
100.044357, 4.101224, 0.421185, 0.003639, -0.020185, 0.289566
101.276554, 4.604564, 0.453643, 0.015509, 0.011870, -0.213773
101.016592, 4.451464, 0.445689, 0.046579, 0.031070, -0.060674
100.601779, 4.233072, 0.433395, 0.076073, 0.029494, 0.157718
102.576665, 5.104834, 0.486865, 0.056318, -0.019755, -0.714044
103.732203, 5.668042, 0.518114, 0.051258, -0.005060, -1.277252
104.681776, 6.133135, 0.543499, 0.073388, 0.022130, -1.742345
108.121129, 8.098160, 0.633332, -0.027381, -0.100769, -3.707369
106.867502, 7.284158, 0.601355, -0.013332, 0.014048, -2.893367
110.300460, 9.457992, 0.686819, -0.128395, -0.115062, -5.067201
111.664630, 10.377583, 0.718449, -0.117639, 0.010756, -5.986793
110.244579, 9.340445, 0.686515, -0.107677, 0.009962, -4.949654
115.058736, 12.864498, 0.789372, -0.333330, -0.225653, -8.473708
116.890636, 14.306343, 0.822672, -0.336893, -0.003563, -9.915553
117.700516, 14.944545, 0.836902, -0.316984, 0.019909, -10.553755
120.313791, 17.151674, 0.875454, -0.345378, -0.028395, -12.760884
120.616465, 17.387282, 0.880540, -0.324791, 0.020587, -12.996491
119.028878, 15.973954, 0.860486, -0.318241, 0.006550, -11.583163
118.089343, 15.138794, 0.847821, -0.300146, 0.018095, -10.748004
119.739251, 16.526590, 0.872917, -0.297577, 0.002569, -12.135800
116.046331, 13.368819, 0.816389, -0.372177, -0.074601, -8.978029
114.765811, 12.301021, 0.793620, -0.357892, 0.014286, -7.910231
115.517934, 12.866648, 0.809228, -0.334470, 0.023422, -8.475858
116.483808, 13.621206, 0.827993, -0.315447, 0.019023, -9.230416
115.216437, 12.548989, 0.806075, -0.300853, 0.014594, -8.158199
116.998777, 13.979901, 0.839589, -0.303065, -0.002212, -9.589111
114.826860, 12.160405, 0.801087, -0.315474, -0.012410, -7.769615
115.823056, 12.931228, 0.821592, -0.296209, 0.019265, -8.540438
115.107913, 12.310551, 0.809360, -0.271274, 0.024935, -7.919760
113.801174, 11.230333, 0.783847, -0.256728, 0.014547, -6.839543
110.527324, 8.744135, 0.706658, -0.344489, -0.087762, -4.353345
111.172762, 9.162253, 0.724360, -0.313419, 0.031070, -4.771463
113.108521, 10.569286, 0.772489, -0.325376, -0.011957, -6.178495
112.989692, 10.435989, 0.771116, -0.291526, 0.033850, -6.045199
112.302561, 9.868898, 0.756130, -0.261930, 0.029596, -5.478108
113.339226, 10.623997, 0.782030, -0.240647, 0.021284, -6.233206
112.957619, 10.284934, 0.774649, -0.207776, 0.032871, -5.894144
110.253155, 8.235457, 0.706100, -0.260991, -0.053215, -3.844667
114.766054, 11.643458, 0.818105, -0.489366, -0.228375, -7.252668
112.392588, 9.720296, 0.765462, -0.516157, -0.026791, -5.329506
112.949934, 10.107578, 0.780738, -0.484434, 0.031723, -5.716788
110.560101, 8.267640, 0.719435, -0.518124, -0.033690, -3.876849
108.892934, 7.059808, 0.670774, -0.516832, 0.001292, -2.669018
110.815970, 8.358452, 0.729410, -0.532151, -0.015320, -3.967662
115.020155, 11.613620, 0.834779, -0.727988, -0.195837, -7.222830
115.699440, 12.146664, 0.850562, -0.702425, 0.025563, -7.755873
116.270693, 12.598150, 0.863587, -0.676653, 0.025772, -8.207360
116.484287, 12.745942, 0.869718, -0.648767, 0.027886, -8.355152
117.949186, 14.004619, 0.896427, -0.642246, 0.006522, -9.613829
119.478218, 15.361853, 0.920007, -0.637978, 0.004267, -10.971063
121.484089, 17.204574, 0.944221, -0.644727, -0.006749, -12.813784
118.488806, 14.393391, 0.911286, -0.671492, -0.026765, -10.002601
115.653137, 11.834059, 0.866091, -0.705616, -0.034124, -7.443269
118.440668, 14.285194, 0.915404, -0.751328, -0.045712, -9.894404
120.948831, 16.594370, 0.947156, -0.773935, -0.022607, -12.203580
117.842382, 13.673358, 0.911836, -0.805010, -0.031075, -9.282567
116.556401, 12.477165, 0.893754, -0.790804, 0.014206, -8.086374
116.421186, 12.319551, 0.894240, -0.763215, 0.027589, -7.928761
117.587909, 13.340906, 0.916217, -0.750422, 0.012793, -8.950116
117.679926, 13.392297, 0.920444, -0.726945, 0.023477, -9.001507
118.923398, 14.518233, 0.939719, -0.717824, 0.009121, -10.127442
118.759384, 14.334885, 0.940489, -0.698321, 0.019503, -9.944095
116.777148, 12.461883, 0.915743, -0.699317, -0.000996, -8.071093
115.816458, 11.551971, 0.902485, -0.678592, 0.020725, -7.161180
116.536900, 12.171518, 0.918569, -0.657243, 0.021349, -7.780728
117.227596, 12.777144, 0.932628, -0.637895, 0.019348, -8.386354
117.650651, 13.142181, 0.941781, -0.618021, 0.019873, -8.751390
119.698309, 15.070553, 0.966480, -0.627699, -0.009678, -10.679763
117.739794, 13.166713, 0.949624, -0.626768, 0.000931, -8.775922
115.454773, 10.995902, 0.919216, -0.635717, -0.008949, -6.605111
114.883935, 10.434438, 0.912833, -0.608477, 0.027240, -6.043647
112.690595, 8.436214, 0.865383, -0.621835, -0.013359, -4.045424
112.519844, 8.237609, 0.865929, -0.579895, 0.041941, -3.846818
113.195220, 8.781449, 0.890140, -0.547814, 0.032081, -4.390659
114.301903, 9.740595, 0.921445, -0.531037, 0.016777, -5.349804
115.968244, 11.270020, 0.954793, -0.534557, -0.003520, -6.879230
115.581604, 10.869682, 0.954321, -0.513300, 0.021257, -6.478892
114.425948, 9.739738, 0.941421, -0.496138, 0.017162, -5.348947
114.421838, 9.699532, 0.947530, -0.469572, 0.026566, -5.308742
115.646491, 10.843442, 0.970348, -0.462926, 0.006646, -6.452651
115.870427, 11.035725, 0.977461, -0.448017, 0.014909, -6.644935
113.628583, 8.837519, 0.954509, -0.451314, -0.003297, -4.446729
113.914363, 9.078223, 0.966531, -0.429166, 0.022148, -4.687433
113.067772, 8.228680, 0.961173, -0.407945, 0.021221, -3.837890
112.819135, 7.954040, 0.966083, -0.382294, 0.025651, -3.563249
110.141897, 5.386033, 0.906700, -0.410782, -0.028488, -0.995243
109.919408, 5.116561, 0.916334, -0.352455, 0.058328, -0.725770
111.466466, 6.537718, 0.977091, -0.365511, -0.013057, -2.146928
112.606444, 7.641262, 0.996372, -0.365385, 0.000127, -3.250471
110.848880, 5.874044, 0.994542, -0.359763, 0.005621, -1.483253
110.797644, 5.808223, 0.999811, -0.355289, 0.004475, -1.417433
