stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
102.148298, 5.335867, 0.483451, -0.028081, -0.028081, -0.945077
101.049737, 4.785650, 0.454190, -0.013337, 0.014744, -0.394860
100.077888, 4.322540, 0.427891, 0.004289, 0.017626, 0.068251
101.015439, 4.700235, 0.451668, 0.023944, 0.019655, -0.309445
100.773068, 4.556596, 0.444420, 0.054055, 0.030111, -0.165805
99.575691, 4.009494, 0.411696, 0.065033, 0.010978, 0.381297
99.751169, 4.047871, 0.415343, 0.095236, 0.030203, 0.342919
98.690660, 3.589132, 0.385961, 0.109801, 0.014565, 0.801658
97.836735, 3.236893, 0.362066, 0.129046, 0.019245, 1.153898
96.330950, 2.691062, 0.321292, 0.126503, -0.002543, 1.699729
97.971460, 3.220545, 0.363065, 0.121311, -0.005192, 1.170245
97.072881, 2.873409, 0.337800, 0.139008, 0.017697, 1.517381
96.444134, 2.635395, 0.319791, 0.161677, 0.022669, 1.755395
98.479140, 3.307385, 0.372891, 0.137681, -0.023995, 1.083406
99.649602, 3.727279, 0.403915, 0.150940, 0.013259, 0.663511
100.537559, 4.060434, 0.427613, 0.172836, 0.021896, 0.330356
100.113457, 3.845423, 0.414623, 0.202651, 0.029815, 0.545368
101.331358, 4.333695, 0.448051, 0.215632, 0.012980, 0.057095
99.289547, 3.442439, 0.388993, 0.187999, -0.027632, 0.948352
98.585023, 3.140626, 0.367784, 0.212286, 0.024287, 1.250165
99.509891, 3.456725, 0.392715, 0.233073, 0.020787, 0.934065
101.885950, 4.432197, 0.460331, 0.187204, -0.045869, -0.041406
100.418738, 3.750491, 0.416544, 0.189312, 0.002108, 0.640300
99.684357, 3.415566, 0.393884, 0.214576, 0.025264, 0.975225
100.689853, 3.788098, 0.422189, 0.234558, 0.019982, 0.602692
102.431343, 4.527982, 0.472908, 0.226094, -0.008464, -0.137191
101.594677, 4.103043, 0.446973, 0.251032, 0.024938, 0.287747
102.260543, 4.366757, 0.466055, 0.280868, 0.029837, 0.024033
101.741762, 4.088737, 0.449380, 0.312842, 0.031973, 0.302054
98.021340, 2.590474, 0.336104, 0.135123, -0.177719, 1.800316
97.131621, 2.269003, 0.308471, 0.154558, 0.019435, 2.121788
96.278913, 1.983907, 0.282304, 0.173887, 0.019328, 2.406883
95.333554, 1.698851, 0.254167, 0.189581, 0.015695, 2.691939
96.796626, 2.066625, 0.292989, 0.191455, 0.001874, 2.324165
95.599891, 1.705049, 0.257119, 0.199811, 0.008357, 2.685741
97.626354, 2.248725, 0.313349, 0.174928, -0.024883, 2.142065
97.816800, 2.272834, 0.317096, 0.207701, 0.032772, 2.117956
98.162270, 2.347240, 0.325649, 0.240011, 0.032310, 2.043550
99.833144, 2.894644, 0.376340, 0.233811, -0.006201, 1.496146
98.579475, 2.409715, 0.334683, 0.243517, 0.009707, 1.981075
98.742350, 2.425996, 0.337861, 0.278738, 0.035221, 1.964795
99.300386, 2.579567, 0.353825, 0.310664, 0.031926, 1.811224
98.406418, 2.237738, 0.323092, 0.332986, 0.022322, 2.153052
98.163609, 2.122181, 0.313204, 0.367194, 0.034208, 2.268609
97.677034, 1.936399, 0.295550, 0.397775, 0.030581, 2.454391
97.266889, 1.781500, 0.280337, 0.428824, 0.031048, 2.609291
99.332937, 2.387542, 0.344923, 0.399485, -0.029339, 2.003248
98.118823, 1.954502, 0.302512, 0.410626, 0.011142, 2.436288
100.499996, 2.725293, 0.380930, 0.357459, -0.053167, 1.665497
98.526850, 2.000651, 0.311085, 0.326979, -0.030480, 2.390139
98.263483, 1.880197, 0.299795, 0.362694, 0.035715, 2.510593
100.756084, 2.688287, 0.384264, 0.299173, -0.063521, 1.702504
100.437532, 2.522407, 0.370736, 0.339100, 0.039927, 1.868383
101.600999, 2.930475, 0.411495, 0.358960, 0.019860, 1.460316
102.518920, 3.274098, 0.444343, 0.389236, 0.030275, 1.116692
102.545073, 3.235412, 0.443875, 0.435386, 0.046151, 1.155378
103.243370, 3.502947, 0.469403, 0.473657, 0.038271, 0.887844
103.105807, 3.386625, 0.462787, 0.520992, 0.047335, 1.004165
104.948759, 4.272633, 0.534265, 0.483533, -0.037459, 0.118158
105.017236, 4.254355, 0.536497, 0.533305, 0.049772, 0.136435
105.324493, 4.344307, 0.548281, 0.603080, 0.069775, 0.046484
107.030815, 5.280648, 0.614982, 0.597045, -0.006035, -0.889857
106.882087, 5.132772, 0.609824, 0.647509, 0.050464, -0.741982
104.550341, 3.782872, 0.515231, 0.569561, -0.077948, 0.607919
104.798420, 3.853719, 0.525004, 0.621619, 0.052058, 0.537071
104.531058, 3.656025, 0.512900, 0.673932, 0.052313, 0.734765
103.202617, 2.934043, 0.453509, 0.709668, 0.035736, 1.456748
102.568330, 2.597653, 0.423518, 0.754121, 0.044453, 1.793137
103.508435, 2.955380, 0.463910, 0.790568, 0.036448, 1.435410
104.380501, 3.336082, 0.502684, 0.810033, 0.019465, 1.054708
104.977277, 3.580689, 0.529470, 0.860623, 0.050590, 0.810102
104.416478, 3.226939, 0.502349, 0.912372, 0.051749, 1.163851
106.396080, 4.226874, 0.595356, 0.902094, -0.010277, 0.163916
106.341013, 4.127441, 0.593466, 0.962967, 0.060873, 0.263349
107.184162, 4.577417, 0.633958, 1.007615, 0.044648, -0.186627
107.158488, 4.492984, 0.634312, 1.069585, 0.061970, -0.102194
106.106686, 3.781748, 0.584039, 1.107459, 0.037873, 0.609043
106.416495, 3.893339, 0.600609, 1.171145, 0.063686, 0.497451
107.278944, 4.358178, 0.645742, 1.218462, 0.047317, 0.032612
