stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
101.936617, 5.234107, 0.477979, -0.017052, -0.017052, -0.843316
99.660549, 4.179892, 0.417931, -0.055065, -0.038013, 0.210899
100.312589, 4.423688, 0.434048, -0.030077, 0.024988, -0.032897
100.630676, 4.528403, 0.441525, -0.000611, 0.029466, -0.137613
101.052807, 4.681953, 0.451830, 0.028262, 0.028873, -0.291162
101.833002, 5.006585, 0.471743, 0.052083, 0.023821, -0.615794
102.610033, 5.344524, 0.491695, 0.076439, 0.024356, -0.953733
105.455524, 6.812232, 0.565899, 0.003377, -0.073061, -2.421442
105.230133, 6.647188, 0.559850, 0.035628, 0.032251, -2.256398
101.862259, 4.874922, 0.469541, -0.082793, -0.118421, -0.484131
103.621879, 5.725910, 0.516644, -0.111837, -0.029044, -1.335119
103.595691, 5.674306, 0.515428, -0.078517, 0.033320, -1.283515
102.387640, 5.013293, 0.481673, -0.044910, 0.033608, -0.622502
102.080829, 4.829312, 0.472469, -0.013111, 0.031799, -0.438521
101.955954, 4.732949, 0.468218, 0.019945, 0.033056, -0.342159
102.443011, 4.926166, 0.481050, 0.050512, 0.030567, -0.535376
101.567606, 4.478153, 0.455647, 0.073017, 0.022505, -0.087362
100.510086, 3.975302, 0.424740, 0.089872, 0.016855, 0.415488
98.997864, 3.330179, 0.380763, 0.088863, -0.001009, 1.060612
100.543427, 3.915303, 0.423533, 0.088830, -0.000033, 0.475487
98.815677, 3.190982, 0.372918, 0.077566, -0.011264, 1.199809
98.732151, 3.124671, 0.369146, 0.109396, 0.031830, 1.266119
98.126570, 2.871807, 0.350460, 0.135417, 0.026021, 1.518983
96.414823, 2.281075, 0.301115, 0.123137, -0.012280, 2.109716
98.516205, 2.939847, 0.358567, 0.094481, -0.028656, 1.450943
99.493789, 3.267245, 0.385614, 0.114408, 0.019927, 1.123546
101.002762, 3.843731, 0.429220, 0.116332, 0.001924, 0.547059
101.809644, 4.159683, 0.452441, 0.142803, 0.026470, 0.231108
102.837869, 4.599562, 0.482667, 0.163992, 0.021189, -0.208772
101.904108, 4.121387, 0.453321, 0.187019, 0.023027, 0.269403
101.997724, 4.122917, 0.455196, 0.223772, 0.036753, 0.267873
103.806626, 4.974781, 0.510306, 0.191138, -0.032634, -0.583991
103.868009, 4.963091, 0.511589, 0.229409, 0.038271, -0.572301
100.037341, 3.172325, 0.390638, 0.055692, -0.173717, 1.218466
97.084693, 2.117856, 0.299331, -0.046814, -0.102506, 2.272934
96.946047, 2.042418, 0.293235, -0.015554, 0.031259, 2.348372
97.866204, 2.288537, 0.318591, 0.005529, 0.021083, 2.102253
98.540742, 2.472695, 0.337328, 0.033406, 0.027878, 1.918095
94.835769, 1.397690, 0.227158, -0.144428, -0.177835, 2.993101
95.427101, 1.505519, 0.240899, -0.119944, 0.024484, 2.885272
