stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
98.768765, 3.850148, 0.395804, 0.009088, 0.009088, 0.540642
97.499752, 3.337427, 0.362027, 0.016034, 0.006946, 1.053363
97.496987, 3.305167, 0.360737, 0.044123, 0.028089, 1.085623
100.233027, 4.354917, 0.431042, -0.021793, -0.065916, 0.035873
100.237903, 4.322554, 0.430242, 0.008815, 0.030608, 0.068236
101.394566, 4.802308, 0.460092, 0.022858, 0.014043, -0.411518
99.105182, 3.785134, 0.398126, -0.017443, -0.040301, 0.605657
99.918146, 4.083011, 0.418797, 0.004801, 0.022244, 0.307779
98.315407, 3.413240, 0.374772, -0.000397, -0.005198, 0.977550
96.085196, 2.612881, 0.314965, -0.039176, -0.038779, 1.777910
95.640428, 2.445885, 0.302082, -0.015014, 0.024162, 1.944905
94.019054, 1.962128, 0.260133, -0.023670, -0.008656, 2.428662
94.481839, 2.057402, 0.269786, -0.000793, 0.022877, 2.333388
93.620843, 1.807867, 0.247122, 0.014134, 0.014926, 2.582924
94.926791, 2.122806, 0.277549, 0.019808, 0.005675, 2.267984
95.525039, 2.263754, 0.291149, 0.042502, 0.022693, 2.127036
94.924744, 2.064893, 0.274096, 0.064058, 0.021556, 2.325897
96.139946, 2.386155, 0.303923, 0.073507, 0.009450, 2.004635
95.445224, 2.151619, 0.284012, 0.094247, 0.020740, 2.239172
96.455440, 2.420419, 0.309044, 0.109893, 0.015647, 1.970372
95.222647, 2.030133, 0.274707, 0.116486, 0.006593, 2.360657
94.034201, 1.694350, 0.242669, 0.123412, 0.006926, 2.696440
94.654979, 1.821240, 0.256402, 0.145082, 0.021670, 2.569550
94.003987, 1.632302, 0.238065, 0.164891, 0.019809, 2.758488
93.791053, 1.555172, 0.230816, 0.189287, 0.024396, 2.835618
94.066961, 1.592220, 0.235679, 0.213949, 0.024662, 2.798571
92.000454, 1.133456, 0.184562, 0.183661, -0.030289, 3.257335
92.956783, 1.295025, 0.204483, 0.197040, 0.013379, 3.095766
