stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
103.060794, 5.808493, 0.507134, -0.109588, -0.109588, -1.417702
100.587478, 4.578487, 0.442123, -0.138507, -0.028918, -0.187697
100.738188, 4.610792, 0.445214, -0.108150, 0.030356, -0.220001
97.387566, 3.234622, 0.356684, -0.227728, -0.119577, 1.156168
98.943530, 3.787822, 0.396046, -0.229088, -0.001361, 0.602968
97.630744, 3.258749, 0.360471, -0.223473, 0.005615, 1.132041
99.140886, 3.799365, 0.399076, -0.222918, 0.000555, 0.591425
100.573056, 4.363044, 0.436399, -0.218622, 0.004296, 0.027747
102.726015, 5.327816, 0.493532, -0.247790, -0.029167, -0.937026
101.734981, 4.815379, 0.466089, -0.228985, 0.018805, -0.424589
102.059772, 4.931252, 0.474155, -0.197726, 0.031259, -0.540462
101.700503, 4.725824, 0.463561, -0.166979, 0.030748, -0.335034
99.981876, 3.934289, 0.415325, -0.176357, -0.009378, 0.456502
97.472892, 2.945920, 0.345626, -0.233779, -0.057422, 1.444870
97.659713, 2.978156, 0.349251, -0.204518, 0.029261, 1.412634
94.611282, 2.008380, 0.267920, -0.302519, -0.098001, 2.382411
94.782182, 2.026074, 0.270487, -0.276772, 0.025747, 2.364716
94.072869, 1.813242, 0.251026, -0.258170, 0.018602, 2.577548
94.317317, 1.847594, 0.255277, -0.233347, 0.024823, 2.543196
91.832429, 1.264336, 0.194812, -0.286653, -0.053305, 3.126455
93.343862, 1.558721, 0.227734, -0.288271, -0.001619, 2.832069
92.961300, 1.448031, 0.216715, -0.266687, 0.021585, 2.942759
90.526767, 0.966610, 0.161272, -0.314746, -0.048060, 3.424181
88.191470, 0.626188, 0.116073, -0.352325, -0.037579, 3.764603
88.839999, 0.687913, 0.125342, -0.339762, 0.012563, 3.702878
86.479677, 0.425129, 0.086239, -0.373895, -0.034133, 3.965662
85.446251, 0.332227, 0.071059, -0.370850, 0.003045, 4.058563
86.120546, 0.371078, 0.077986, -0.362393, 0.008457, 4.019712
87.163555, 0.446231, 0.090730, -0.356871, 0.005522, 3.944559
88.743588, 0.592410, 0.113904, -0.360469, -0.003598, 3.798381
90.035528, 0.735361, 0.135271, -0.357242, 0.003226, 3.655429
90.047222, 0.717931, 0.133378, -0.339401, 0.017841, 3.672859
90.529410, 0.764525, 0.140612, -0.322836, 0.016565, 3.626266
93.296839, 1.209374, 0.199535, -0.379769, -0.056933, 3.181417
91.039600, 0.796907, 0.146487, -0.419466, -0.039697, 3.593884
93.442760, 1.185872, 0.198490, -0.457685, -0.038219, 3.204919
95.202927, 1.544147, 0.241768, -0.468354, -0.010669, 2.846643
92.667687, 0.990091, 0.175187, -0.529414, -0.061060, 3.400700
94.339987, 1.288333, 0.214050, -0.536255, -0.006841, 3.102458
95.611221, 1.550346, 0.246035, -0.528089, 0.008166, 2.840445
93.901259, 1.141820, 0.197821, -0.542507, -0.014418, 3.248970
94.131735, 1.159963, 0.201190, -0.516840, 0.025667, 3.230827
91.597195, 0.706492, 0.139022, -0.575109, -0.058268, 3.684299
91.419917, 0.661075, 0.132787, -0.555588, 0.019521, 3.729715
92.907021, 0.857605, 0.163058, -0.555844, -0.000256, 3.533185
93.063609, 0.858188, 0.164074, -0.532367, 0.023477, 3.532602
92.769003, 0.786499, 0.154418, -0.510498, 0.021869, 3.604291
92.255252, 0.687292, 0.140048, -0.492017, 0.018481, 3.703498
89.135052, 0.332112, 0.079268, -0.575079, -0.083061, 4.058678
89.713052, 0.364603, 0.085997, -0.562478, 0.012601, 4.026187
89.985373, 0.372203, 0.087997, -0.547444, 0.015034, 4.018587
91.608532, 0.518020, 0.115211, -0.551231, -0.003787, 3.872770
91.820642, 0.521884, 0.116668, -0.531708, 0.019523, 3.868906
90.782019, 0.393413, 0.093873, -0.525475, 0.006233, 3.997377
89.282050, 0.257658, 0.067124, -0.531385, -0.005910, 4.133133
