stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
99.636380, 4.203286, 0.418269, 0.027831, 0.027831, 0.187505
100.004560, 4.325205, 0.426904, 0.056196, 0.028364, 0.065585
101.245214, 4.839896, 0.458511, 0.067343, 0.011148, -0.449106
101.692687, 5.012167, 0.469500, 0.096125, 0.028782, -0.621377
100.869781, 4.599700, 0.446982, 0.118008, 0.021882, -0.208910
102.141911, 5.153578, 0.479937, 0.128744, 0.010737, -0.762787
102.587683, 5.333540, 0.491102, 0.158385, 0.029640, -0.942750
101.678601, 4.861932, 0.466119, 0.179088, 0.020703, -0.471142
102.774361, 5.351709, 0.494828, 0.195864, 0.016776, -0.960919
101.792328, 4.842152, 0.467644, 0.214988, 0.019124, -0.451362
102.968638, 5.373435, 0.498832, 0.229580, 0.014592, -0.982644
102.427714, 5.070180, 0.483474, 0.258464, 0.028885, -0.679389
99.932567, 3.913843, 0.413967, 0.204078, -0.054386, 0.476947
98.799922, 3.428407, 0.381667, 0.216941, 0.012863, 0.962384
100.916637, 4.261391, 0.439217, 0.188458, -0.028483, 0.129399
102.371831, 4.891996, 0.479059, 0.193043, 0.004585, -0.501205
102.367679, 4.851731, 0.478198, 0.226957, 0.033914, -0.460941
102.735479, 4.990778, 0.487840, 0.259439, 0.032481, -0.599988
102.111521, 4.653413, 0.469379, 0.287961, 0.028522, -0.262623
102.845960, 4.966600, 0.489583, 0.315239, 0.027279, -0.575809
103.109739, 5.057118, 0.496453, 0.349391, 0.034152, -0.666328
102.065412, 4.515276, 0.465545, 0.368231, 0.018840, -0.124486
99.360352, 3.325927, 0.385801, 0.294025, -0.074206, 1.064864
98.911574, 3.119864, 0.371451, 0.323504, 0.029479, 1.270926
98.367710, 2.886920, 0.354289, 0.351127, 0.027623, 1.503871
98.385875, 2.857992, 0.353267, 0.383354, 0.032227, 1.532798
98.472244, 2.852954, 0.354210, 0.415777, 0.032423, 1.537837
96.641464, 2.219950, 0.300165, 0.397163, -0.018614, 2.170840
96.140607, 2.041248, 0.284371, 0.422908, 0.025745, 2.349542
95.917466, 1.946971, 0.276273, 0.451262, 0.028354, 2.443819
98.926813, 2.869848, 0.361309, 0.357394, -0.093868, 1.520942
102.550465, 4.337412, 0.471335, 0.195862, -0.161532, 0.053378
100.787484, 3.514521, 0.415380, 0.183453, -0.012408, 0.876270
102.438671, 4.200683, 0.466001, 0.179375, -0.004078, 0.190107
101.331397, 3.662669, 0.429939, 0.197097, 0.017722, 0.728121
99.526920, 2.899201, 0.371599, 0.180810, -0.016286, 1.491589
97.723009, 2.243226, 0.314266, 0.163089, -0.017721, 2.147564
96.741444, 1.915083, 0.283006, 0.179952, 0.016863, 2.475707
96.727986, 1.877152, 0.280416, 0.211566, 0.031614, 2.513638
96.418516, 1.758225, 0.269108, 0.241229, 0.029663, 2.632565
95.324426, 1.449875, 0.235632, 0.252776, 0.011547, 2.940916
93.423758, 1.023892, 0.183348, 0.228840, -0.023935, 3.366898
92.492626, 0.839667, 0.158694, 0.240770, 0.011929, 3.551123
93.928724, 1.064433, 0.190790, 0.242555, 0.001785, 3.326358
93.530448, 0.963915, 0.178118, 0.265437, 0.022882, 3.426875
91.112009, 0.580854, 0.121435, 0.216200, -0.049237, 3.809936
93.108431, 0.840262, 0.162405, 0.198210, -0.017990, 3.550528
94.127371, 0.990402, 0.184973, 0.212154, 0.013944, 3.400389
94.193463, 0.974425, 0.183839, 0.238748, 0.026594, 3.416365
93.683289, 0.857222, 0.167926, 0.260564, 0.021816, 3.533568
91.288539, 0.501868, 0.111635, 0.212327, -0.048237, 3.888922
90.896874, 0.441002, 0.101433, 0.228530, 0.016203, 3.949788
91.734306, 0.511888, 0.114905, 0.241739, 0.013209, 3.878902
91.595918, 0.475963, 0.109240, 0.260791, 0.019053, 3.914828
90.394259, 0.341668, 0.084414, 0.262898, 0.002106, 4.049123
88.514138, 0.198385, 0.054533, 0.246774, -0.016124, 4.192405
88.038468, 0.163327, 0.046749, 0.255458, 0.008684, 4.227463
88.029628, 0.152712, 0.044539, 0.265293, 0.009835, 4.238078
87.704389, 0.129528, 0.039103, 0.273644, 0.008351, 4.261262
88.222973, 0.141126, 0.042363, 0.282024, 0.008380, 4.249664
90.443549, 0.250149, 0.068653, 0.266743, -0.015281, 4.140641
89.907110, 0.201967, 0.058069, 0.277531, 0.010789, 4.188823
90.821147, 0.245359, 0.068764, 0.286747, 0.009216, 4.145432
89.534365, 0.157152, 0.047998, 0.285903, -0.000844, 4.233639
87.865790, 0.084556, 0.028712, 0.278028, -0.007875, 4.306235
86.202097, 0.042176, 0.015928, 0.272426, -0.005603, 4.348614
86.175808, 0.037323, 0.014464, 0.276755, 0.004329, 4.353467
86.116566, 0.032387, 0.012912, 0.280742, 0.003987, 4.358404
87.664836, 0.052553, 0.019881, 0.280488, -0.000254, 4.338237
86.840966, 0.033746, 0.013680, 0.282776, 0.002288, 4.357044
84.144296, 0.008859, 0.004237, 0.270686, -0.012090, 4.381931
84.781094, 0.010115, 0.004827, 0.272120, 0.001434, 4.380675
